timestamp,model_name,technique,pruning_amount,best_epoch,val_accuracy,test_accuracy,total_time_min,total_energy_kwh,model_size_mb
2025-12-20 20:47:22,resnet50,baseline,0,18,0.4804,0.4895,2641.57,5.723379,90.73
2025-12-22 15:52:50,resnet50,pruning,0.3,39,0.7482,0.7000,2634.08,5.707134,90.73
2025-12-23 11:38:58,mobilenet_v2,baseline,0,37,0.7224,0.7155,667.57,1.447343,9.21
2025-12-24 14:15:30,resnet50,pruning,0.5,1,0.9514,0.7504,2631.55,5.702441,90.73
2025-12-25 16:09:11,resnet50,baseline,0,50,0.7514,0.7472,74.55,0.077634,90.73
2025-12-25 17:23:59,resnet50,pruning,0.3,2,0.9502,0.7489,74.52,0.077607,90.73
2025-12-25 18:38:47,resnet50,pruning,0.5,1,0.9514,0.7504,74.51,0.077600,90.73
2025-12-25 19:53:50,resnet50,pruning,0.7,1,0.9450,0.7478,74.77,0.077867,90.73
2025-12-25 20:14:14,mobilenet_v2,baseline,0,45,0.7204,0.7198,18.84,0.019623,9.21
2025-12-26 11:20:45,resnet50,pruning,0.7,1,0.9450,0.7478,2629.12,5.698115,90.73
2025-12-27 09:00:00,resnet50,quantization,0,0,0,0.7405,2.50,0.001200,23.50
